id,name,round,homeTeam,awayTeam,time,venue,clash
597015,10 White 2022,1,East Ringwood White,Chirnside Park,9:00,Ainslie Park,
597010,9 Black 2022,1,Croydon,Waverley Blues,9:00,Barngeong Reserve,
597015,10 White 2022,1,Croydon,Lilydale ,9:00,Barngeong Reserve,
597000,9 White 2022,1,The Basin Red,North Ringwood Black,9:00,Batterham Reserve,
597010,9 Black 2022,1,The Basin Green,North Ringwood Red,9:00,Batterham Reserve,
597017,9 Red 2022,1,Bayswater,Boronia ,9:00,Bayswater Junior Oval,
597000,9 White 2022,1,South Croydon,Kilsyth,9:00,Benson Oval,
597005,9 Blue 2022,1,Glen Waverley Hawks,Glen Waverley Rovers,9:00,Central Reserve,
597017,9 Red 2022,1,Upper Ferntree Gully,South Belgrave,9:00,Dobson Park,
597017,9 Red 2022,1,East Burwood ,Ferntree Gully Eagles,9:00,East Burwood Reserve,
597017,9 Red 2022,1,Rowville ,Rowville Knights,9:00,Eildon Park,
597020,10 Blue 2022,1,Heathmont Gold,Blackburn Red,9:00,HE Parker Reserve,
597000,9 White 2022,1,Chirnside Park,Heathmont,9:00,Kimberley Reserve,
597005,9 Blue 2022,1,Knox,Donvale/ Knox,9:00,Knox Gardens Reserve,
597003,10 Black 2022,1,Lysterfield Teal,Mitcham,9:00,Lakesfield Reserve,
597002,10 Red 2022,1,Fairpark,Noble Park,9:00,Lewis Park,
597011,8 South 2022,1,Wantirna South Green,Vermont,9:00,Lewis Park,
597011,8 South 2022,1,Blackburn Black,Blackburn Red,9:00,Lewis Park,
597003,10 Black 2022,1,Vermont Purple,Wantirna South ,9:00,Livingstone Primary School,
597000,9 White 2022,1,Montrose,Ringwood,9:00,Montrose Recreation Reserve,
597020,10 Blue 2022,1,Montrose Red,Glen Waverley Rovers,9:00,Montrose Recreation Reserve,
597003,10 Black 2022,1,Blackburn Black,Heathmont Blue,9:00,Morton Park,
597010,9 Black 2022,1,Blackburn ,East Ringwood,9:00,Morton Park,
597015,10 White 2022,1,Waverley Blues,Mooroolbark,9:00,Mt Waverley Reserve,
597003,10 Black 2022,1,Norwood Black,The Basin,9:00,Mullum Mullum Reserve,
597020,10 Blue 2022,1,Norwood Purple,Vermont Gold,9:00,Mullum Mullum Reserve,
597002,10 Red 2022,1,South Belgrave,Endeavour Hills ,9:00,Narre Warren East Reserve,
597002,10 Red 2022,1,Ferntree Gully Eagles,Knox,9:00,Pickett Reserve,
597015,10 White 2022,1,Kilsyth,South Croydon,9:00,Pinks Reserve,
597016,8 North 2022,1,Heathmont,North Ringwood Black,9:00,Quambee Reserve,
597020,10 Blue 2022,1,North Ringwood Black,Upper Ferntree Gully,9:00,Quambee Reserve,
597003,10 Black 2022,1,North Ringwood Red,Montrose Blue,9:00,Ringwood North Reserve,
597010,9 Black 2022,1,Noble Park,Vermont ,9:00,Ross Reserve,
597002,10 Red 2022,1,Rowville Knights,Rowville,9:00,Scoresby Recreation Reserve,
597017,9 Red 2022,1,Wantirna South,Lysterfield Grey,9:00,Templeton Reserve,
597000,9 White 2022,1,Lilydale,Norwood,9:00,The Gateway Reserve,
597002,10 Red 2022,1,Boronia,Bayswater,9:00,Tormore Reserve,
597010,9 Black 2022,1,Mitcham,Lysterfield Teal,9:00,Walker Park,
597011,8 South 2022,1,Wantirna South White,Bayswater,10:00,Lewis Park,
597011,8 South 2022,1,Lysterfield,Ferntree Gully Eagles,10:00,Lewis Park,
597016,8 North 2022,1,Norwood,South Croydon,10:00,Quambee Reserve,
597018,10 Girls 2022,1,East Ringwood,South Croydon,10:05,Ainslie Park,
596965,12A Girls 2022,1,The Basin Green,Vermont,10:05,Batterham Reserve,
596999,11D 2022,1,The Basin White,Blackburn Red,10:05,Batterham Reserve,
596975,14C Girls 2022,1,Bayswater/Kilsyth,Upper Ferntree Gully,10:05,Bayswater Junior Oval,
596990,12B Girls 2022,1,South Croydon,Chirnside Park,10:05,Benson Oval,
597013,11C 2022,1,Glen Waverley Rovers,Noble Park,10:05,Brentwood Reserve,
596965,12A Girls 2022,1,SBL Wolves Black,North Ringwood,10:05,Carrington Park,
597013,11C 2022,1,Upper Ferntree Gully,South Croydon,10:05,Dobson Park,
597024,11B 2022,1,East Burwood ,East Ringwood,10:05,East Burwood Reserve,
596965,12A Girls 2022,1,East Ringwood,Blackburn,10:05,Glen Park,
596990,12B Girls 2022,1,Heathmont,Montrose,10:05,HE Parker Reserve,
597024,11B 2022,1,Mooroolbark,Rowville ,10:05,Kiloran Park,
597018,10 Girls 2022,1,Chirnside Park,The Basin,10:05,Kimberley Reserve,
597008,11A 2022,1,Knox,Montrose Blue,10:05,Knox Gardens Reserve,
596999,11D 2022,1,Lysterfield Grey,Vermont Gold,10:05,Lakesfield Reserve,
597008,11A 2022,1,Vermont Purple,The Basin Green,10:05,Livingstone Primary School,
597018,10 Girls 2022,1,Vermont,Wantirna South,10:05,Livingstone Primary School,
596999,11D 2022,1,Montrose Red,North Ringwood Black,10:05,Montrose Recreation Reserve,
597008,11A 2022,1,Blackburn Black,Mitcham Black,10:05,Morton Park,
596990,12B Girls 2022,1,Norwood,SBL Wolves Teal,10:05,Mullum Mullum Reserve,
597013,11C 2022,1,South Belgrave,Rowville Knights,10:05,Narre Warren East Reserve,
597013,11C 2022,1,Bayswater/Kilsyth,Boronia,10:05,Pinks Reserve,
597008,11A 2022,1,North Ringwood Red,Lysterfield Teal,10:05,Quambee Reserve,
597018,10 Girls 2022,1,North Ringwood,Norwood ,10:05,Ringwood North Reserve,
596987,13C 2022,1,Noble Park,Vermont Gold,10:05,Ross Reserve,
596965,12A Girls 2022,1,Wantirna South,Ferntree Gully Eagles,10:05,Schultz Reserve,
597013,11C 2022,1,Endeavour Hills ,Coldstream,10:05,Singleton Reserve,
597024,11B 2022,1,Wantirna South Green,Norwood,10:05,Templeton Reserve,
597024,11B 2022,1,Lilydale,Heathmont,10:05,The Gateway Reserve,
596990,12B Girls 2022,1,Boronia,Bayswater,10:05,Tormore Reserve,
596999,11D 2022,1,Mitcham Yellow,Wantirna South White,10:05,Walker Park,
597011,8 South 2022,1,Knox,Ferntree Gully/ Endeavour Hills,11:00,Lewis Park,
597011,8 South 2022,1,Rowville,Fairpark/Rowville Knights,11:00,Lewis Park,
597016,8 North 2022,1,East Ringwood,Montrose,11:00,Quambee Reserve,
596993,15B 2022,1,Forest Hill,Norwood,11:10,Forest Hill Reserve,
596966,12C 2022,1,East Ringwood,Bayswater,11:25,Ainslie Park,
596991,12B 2022,1,Croydon,Ferntree Gully Eagles,11:25,Barngeong Reserve,
596966,12C 2022,1,The Basin,Heathmont,11:25,Batterham Reserve,
596981,13D 2022,1,Bayswater,Blackburn Red,11:25,Bayswater Junior Oval,
